title,url,source,category,published,summary,image
Pengacara Don Ritto Ungkap Riwayat Kafe de'Clan Signature,https://www.tempo.co/hukum/pengacara-don-ritto-ungkap-riwayat-kafe-de-clan-signature-2275828,Tempo,,,,https://statik.tempo.co/data/2026/07/08/id_1481350/1481350_720.jpg
Nilai Tukar Petani Naik. Benarkah Petani Kita Sejahtera?,https://www.tempo.co/ekonomi/ntp-nilai-tukar-petani-kesejahteraan-2275697,Tempo,,,,https://images-tm.tempo.co/all/2026/07/13/916967/916967_1200.jpg
"BEI Revisi Metode HSC, 37 Emiten Baru Masuk dalam Daftar",https://www.tempo.co/ekonomi/bei-revisi-metode-hsc-37-emiten-baru-masuk-dalam-daftar-2275827,Tempo,,,,https://statik.tempo.co/data/2026/07/14/id_1482234/1482234_720.jpg
Api dalam Sampah TPA Jatiwaringin. Dari Mana Asalnya?,https://www.tempo.co/lingkungan/api-sampah-kebakaran-tpa-jatiwaringin-2275533,Tempo,,,,https://images-tm.tempo.co/all/2026/07/12/916902/916902_1200.jpg
Ini Kata KLH Soal Penyebab Dominasi Sampah Plastik,https://www.tempo.co/lingkungan/ini-kata-klh-soal-penyebab-dominasi-sampah-plastik-2275805,Tempo,,,,https://statik.tempo.co/data/2026/04/16/id_1469038/1469038_720.jpg
Petani Banyuwangi Gelisah Lahan Rusak Akibat Tambang Emas,https://www.tempo.co/lingkungan/petani-banyuwangi-gelisah-lahan-rusak-akibat-tambang-emas-2275666,Tempo,,,,https://statik.tempo.co/data/2026/07/14/id_1482115/1482115_720.jpg
FKGI: Inpres 8/2026 Babak Baru Konservasi Gajah,https://www.tempo.co/lingkungan/fkgi-inpres-8-2026-babak-baru-konservasi-gajah-2275657,Tempo,,,,https://statik.tempo.co/data/2026/01/23/id_1454947/1454947_720.jpg
"Gambut Ternyata Ikut Membentuk Hujan, Begini Prosesnya",https://www.tempo.co/sains/gambut-ternyata-ikut-membentuk-hujan-begini-prosesnya-2275768,Tempo,,,,
"Asosiasi Dosen: Kami Ingin Gaji yang Layak, Bukan Kemewahan",https://www.tempo.co/wawancara/mengapa-dosen-mencari-pekerjaan-tambahan-2275519,Tempo,,,,https://images-tm.tempo.co/all/2026/07/12/916890/916890_1200.jpg
Lobi Karen Brooks Hingga Prabowo Mengubah Aturan Karbon,https://www.tempo.co/investigasi/lobi-karen-brooks-prabowo-way-kambas-2116878,Tempo,,,,https://images-tm.tempo.co/all/2026/02/21/907150/907150_1200.jpg
Keliru: Video Empat Pemerkosa Digantung di India,https://www.tempo.co/cekfakta/keliru-video-empat-pemerkosa-digantung-di-india-2275703,Tempo,,,,https://statik.tempo.co/data/2026/07/14/id_1482129/1482129_720.jpg
Cara Efektif dan Efisien Memulihkan Hutan Rusak,https://www.tempo.co/kolom/cara-efektif-mencegah-deforestasi-hutan-2275617,Tempo,,,,https://images-tm.tempo.co/all/2026/07/13/916960/916960_1200.jpg
Sisi Eksotis Gunung Kaba,https://www.tempo.co/hiburan/pendakian-gunung-kaba-bengkulu-2275077,Tempo,,,,https://images-tm.tempo.co/all/2026/07/10/916738/916738_1200.jpg
Warisan Arsitek Jiwa Asrul Sani dalam Film Indonesia,https://www.tempo.co/arsip/warisan-asrul-sani-film-indonesia-2269012,Tempo,,,,https://images-tm.tempo.co/all/2026/06/13/914986/914986_1200.jpg
Bagaimana Marquez Bersaudara Mendominasi MotoGP 2025,https://www.tempo.co/otomotif/marquez-bersaudara-juara-motogp-1364278,Tempo,,,,https://images-tm.tempo.co/all/2025/05/06/886345/886345_1200.jpg
Mengapa Tim Asia Berguguran di Babak Awal Piala Dunia 2026,https://www.tempo.co/sepakbola/rapor-tim-asia-piala-dunia-2026-2272303,Tempo,,,,https://images-tm.tempo.co/all/2026/06/28/915943/915943_1200.jpg
"Ironi FortiBleed, Kejahatan Baru Dunia Digital. Apa Itu?",https://www.tempo.co/digital/fortibleed-tren-baru-menembus-firewall-2271715,Tempo,,,,https://images-tm.tempo.co/all/2026/06/25/915741/915741_1200.jpg
Sejarah PPATK sebagai Penangkal Pencucian Uang,https://www.tempo.co/prelude/sejarah-ppatk-pencucian-uang-2275165,Tempo,,,,https://images-tm.tempo.co/all/2026/07/11/916813/916813_1200.jpg
Ide Juru Bicara Menteri Luar Negeri di Era Hassan Wirajuda,https://www.tempo.co/tokoh/kementerian-luar-negeri-hassan-wirajuda-2273508,Tempo,,,,https://images-tm.tempo.co/all/2026/07/02/916164/916164_1200.jpg
